,place,pop1980,pop2000,pop2010,pop2022,pop2023,pop2030,pop2050,country,area,landAreaKm,cca2,cca3,netChange,growthRate,worldPercentage,density,densityMi,rank
0,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
1,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
2,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
3,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
4,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
5,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
6,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
7,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
8,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
9,356,696828385.0,1059633675.0,1240613620.0,1417173173.0,1428627663,1514994080.0,1670490596.0,India,3287590,2973190.0,IN,IND,0.4184,0.0081,0.1785,480.5033,1244.5036,1.0
